Hotel Name,City,Address,address line2,Address line3,,Address line4,,address 4,,Addres full
Matiat Hotel Istanbul,Istanbul,Langa Hisari Street, No:19, Fatih,, 34096 Istanbul,, Turkey,+90 212 638 10 10,address line2 Address line3 Address line4 address 4 
Atro Hotel Istanbul,Istanbul,Aksaray Mah. Cerrahpasa Cad. No:23, Fatih, 34096 Istanbul,, Turkey,,+90 212 638 06 06,, No:19  Fatih  34096 Istanbul  Turkey +90 212 638 10 10
Birbey Otel Istanbul,Istanbul,Cakiraga Mah. Manastirli Rifat Sok. No:25, Aksaray, 34000 Istanbul,, Turkey,,+90 212 638 11 00,, Fatih  34096 Istanbul  Turkey +90 212 638 06 06 
Grand Emin Istanbul,Istanbul,Emin Sinan Mah. Piyer Loti Cad. No: 9, 34126 Istanbul, Turkey,,+90 212 519 28 28,,,, Aksaray  34000 Istanbul  Turkey +90 212 638 11 00 
Dora Hotel Istanbul,Istanbul,Fevziye Sk. No:22, Sehzadebasi/Fatih, 34470 Istanbul,, Turkey,,+90 212 528 50 70,, 34126 Istanbul  Turkey +90 212 519 28 28  
New Emin Hotel Istanbul,Istanbul,Emin Sinan Mah. Emin Sinan Hamam Sok. No:6, 34126 Istanbul, Turkey,,+90 212 517 24 24,,,, Sehzadebasi/Fatih  34470 Istanbul  Turkey +90 212 528 50 70 
Fidan City Hotel Istanbul,Istanbul,Kalyoncukulluk Mah. Simitci Sok. No:14, 34435 Istanbul, Turkey,,+90 212 527 67 67,,,, 34126 Istanbul  Turkey +90 212 517 24 24  
Mineo Hotel Taksim Istanbul,Istanbul,Feridiye Cd. Farabi Sk. No:6, Taksim, 34340 Istanbul,, Turkey,,+90 212 361 10 00,, 34435 Istanbul  Turkey +90 212 527 67 67  
Arts Hotel Istanbul,Istanbul,Kocatepe Mah. Topçu Cad. No:2, Taksim, 34437 Istanbul,, Turkey,,+90 212 361 33 33,, Taksim  34340 Istanbul  Turkey +90 212 361 10 00 
Taxim Express Istanbul,Istanbul,Gümüşsuyu Mah. Mete Cad. No:34, Taksim, 34437 Istanbul,, Turkey,,+90 212 297 00 00,, Taksim  34437 Istanbul  Turkey +90 212 361 33 33 
The Green Park Taksim Istanbul,Istanbul,Gümüşsuyu Mah. Sıraselviler Cd. No:11, 34437 Istanbul, Turkey,,+90 212 297 60 00,,,, Taksim  34437 Istanbul  Turkey +90 212 297 00 00 
Seminal Hotel Istanbul,Istanbul,Kocatepe Mah. Topçu Cad. No:9-11, Taksim, 34437 Istanbul,, Turkey,,+90 212 361 03 00,, 34437 Istanbul  Turkey +90 212 297 60 00  
Bekdas Hotel Deluxe & Spa Istanbul,Istanbul,Inönü Mah. Elmadag Cad. No:64, Sisli, 34381 Istanbul,, Turkey,,+90 212 231 47 47,, Taksim  34437 Istanbul  Turkey +90 212 361 03 00 
Holiday Inn Istanbul City by IHG,Istanbul,Turgut Ozal Millet Cad. No:82, Findikzade, 34093 Istanbul,, Turkey,,+90 212 413 07 00,, Sisli  34381 Istanbul  Turkey +90 212 231 47 47 
Crowne Plaza Istanbul,Istanbul,Kocatepe Mah. Abdulhak Hamit Cd. No:15, Taksim, 34437 Istanbul,, Turkey,,+90 212 313 40 00,, Findikzade  34093 Istanbul  Turkey +90 212 413 07 00 
Nova Plaza Crystal Hotel Istanbul,Istanbul,Gümüşsuyu Mah. Osmanlı Sk. 1/B, 34437 Istanbul, Turkey,,+90 212 297 99 99,,,, Taksim  34437 Istanbul  Turkey +90 212 313 40 00 
Grand Hotel Gulsoy,Istanbul,Evren Mah. Cami Yolu Cad. No:1A, Gunesli, 34212 Istanbul,, Turkey,,+90 212 657 00 00,, 34437 Istanbul  Turkey +90 212 297 99 99  
Glorious Hotel İstanbul,Istanbul,Alemdar Mah. Catal Cesme Sk. No:8, Sultanahmet, 34110 Istanbul,, Turkey,,+90 212 511 71 71,, Gunesli  34212 Istanbul  Turkey +90 212 657 00 00 
Celal Sultan Hotel Special Class Istanbul,Istanbul,Yerebatan Cad. No:1, Sultanahmet, 34400 Istanbul,, Turkey,,+90 212 520 01 20,, Sultanahmet  34110 Istanbul  Turkey +90 212 511 71 71 
Hotel Sultanahmet Istanbul,Istanbul,Binbirdirek Mah. Terzihane Sok. No:17, Sultanahmet, 34122 Istanbul,, Turkey,,+90 212 638 02 80,, Sultanahmet  34400 Istanbul  Turkey +90 212 520 01 20 
Golden Age Hotel Istanbul,Istanbul,Ergenekon Mah. Halaskargazi Cad. No:39, Harbiye, 34381 Istanbul,, Turkey,,+90 212 225 00 00,, Sultanahmet  34122 Istanbul  Turkey +90 212 638 02 80 
Elite World Comfy İstanbul Taksim,Istanbul,Sehit Muhtar Mah. Tarlabasi Bulv. No:36, Taksim, 34435 Istanbul,, Turkey,,+90 212 297 00 50,, Harbiye  34381 Istanbul  Turkey +90 212 225 00 00 
Golden Park Hotel Taksim Istanbul,Istanbul,Topçu Cad. No:6, Talimhane, Taksim,, 34437 Istanbul,, Turkey,+90 212 254 55 00, Taksim  34435 Istanbul  Turkey +90 212 297 00 50 
Avantgarde Urban Hotel Taksim Istanbul,Istanbul,Gümüşsuyu Mah. Sıraselviler Cd. No:15, Taksim, 34437 Istanbul,, Turkey,,+90 212 297 00 00,, Talimhane  Taksim  34437 Istanbul  Turkey +90 212 254 55 00
Hotel Lamartine Istanbul,Istanbul,Cihangir Mah. Kazancı Yokuşu No:12, Taksim, 34433 Istanbul,, Turkey,,+90 212 245 41 67,, Taksim  34437 Istanbul  Turkey +90 212 297 00 00 
Istanbul Gonen Hotel,Istanbul,Kaynarca Mah. Erol Kaya Cad. No:202, Pendik, 34890 Istanbul,, Turkey,,+90 216 488 00 00,, Taksim  34433 Istanbul  Turkey +90 212 245 41 67 
The Parma Hotel & Spa Taksim Istanbul,Istanbul,Gümüşsuyu Mah. İnönü Cad. No:26, Taksim, 34437 Istanbul,, Turkey,,+90 212 297 06 06,, Pendik  34890 Istanbul  Turkey +90 216 488 00 00 
Askoç Hotel Istanbul,Istanbul,Hudavendigar Cad. Serdar Sk. No:1, Sirkeci, 34110 Istanbul,, Turkey,,+90 212 528 58 58,, Taksim  34437 Istanbul  Turkey +90 212 297 06 06 
Occidental Taksim Istanbul,Istanbul,Asker Ocagi Cad. No:1, Taksim, 34435 Istanbul,, Turkey,,+90 212 361 66 66,, Sirkeci  34110 Istanbul  Turkey +90 212 528 58 58 
Titanic City Taksim Istanbul,Istanbul,Lamartin Cd. No:47, Taksim, 34437 Istanbul,, Turkey,,+90 212 256 00 60,, Taksim  34435 Istanbul  Turkey +90 212 361 66 66 
Nippon Hotel Istanbul,Istanbul,Topçu Cad. No:6, Talimhane, Taksim,, 34437 Istanbul,, Turkey,+90 212 250 11 99, Taksim  34437 Istanbul  Turkey +90 212 256 00 60 
Point Hotel Taksim Istanbul,Istanbul,Topçu Cad. No:2, Taksim, 34437 Istanbul,, Turkey,,+90 212 256 80 00,, Talimhane  Taksim  34437 Istanbul  Turkey +90 212 250 11 99
Elite World İstanbul Taksim,Istanbul,Lamartin Cd. No:25, Taksim, 34437 Istanbul,, Turkey,,+90 212 313 83 83,, Taksim  34437 Istanbul  Turkey +90 212 256 80 00 
MANESOL GALATA HOTEL Istanbul,Istanbul,Kemankes Karamustafa Mah. Kemankes Cad. No:12-14, 34560 Istanbul, Turkey,,+90 212 292 23 45,,,, Taksim  34437 Istanbul  Turkey +90 212 313 83 83 
Richmond Istanbul,Istanbul,Istiklal Cd. Ipek Sk. No:11, Taksim, 34100 Istanbul,, Turkey,,+90 212 252 54 54,, 34560 Istanbul  Turkey +90 212 292 23 45  
Midtown Hotel Istanbul,Istanbul,Lamartin Cd. No:13, Taksim, 34437 Istanbul,, Turkey,,+90 212 361 66 00,, Taksim  34100 Istanbul  Turkey +90 212 252 54 54 
Radisson Blu Hotel, Istanbul Sisli,Istanbul,Albay Sadi Alantar Sk. No:24-30, Sisli,, 34363 Istanbul,, Turkey,+90 212 230 00 00, Taksim  34437 Istanbul  Turkey +90 212 361 66 00 
Legacy Ottoman Hotel Istanbul,Istanbul,Hoca Pasa Mah. Kum Meydani Sk. No:16, Fatih, 34112 Istanbul,, Turkey,,+90 212 511 90 30,,Albay Sadi Alantar Sk. No:24-30  Sisli  34363 Istanbul  Turkey +90 212 230 00 00
Barcelo Hotel Istanbul,Istanbul,Eskişehir Mah. Dolapdere Cad. No:33, Sisli, 34330 Istanbul,, Turkey,,+90 212 373 70 00,, Fatih  34112 Istanbul  Turkey +90 212 511 90 30 
Radisson Blu Bosphorus Hotel, Istanbul,Istanbul,Ciragan Cad. No:46, Besiktas,, 34349 Istanbul,, Turkey,+90 212 310 15 00, Sisli  34330 Istanbul  Turkey +90 212 373 70 00 
Divan İstanbul,Istanbul,Asker Ocagi Cad. No:1, Taksim, 34435 Istanbul,, Turkey,,+90 212 315 55 00,,Ciragan Cad. No:46  Besiktas  34349 Istanbul  Turkey +90 212 310 15 00
The Marmara Taksim Istanbul,Istanbul,Taksim Meydani, 34437 Istanbul, Turkey,,+90 212 251 46 96,,,, Taksim  34435 Istanbul  Turkey +90 212 315 55 00 
Grand Hyatt Istanbul,Istanbul,Taskisla Cd. No:1, Taksim, 34437 Istanbul,, Turkey,,+90 212 368 12 34,, 34437 Istanbul  Turkey +90 212 251 46 96  
Sofitel İstanbul Taksim,Istanbul,Kocatepe Mah. Abdulhak Hamit Cd. No:17, Taksim, 34437 Istanbul,, Turkey,,+90 212 313 77 77,, Taksim  34437 Istanbul  Turkey +90 212 368 12 34 
JURA LARA RESORT,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 352 00 00,, Taksim  34437 Istanbul  Turkey +90 212 313 77 77 
WELL PALACE SIDE,Antalya,Side Mahallesi, 07330 Side, Antalya,, Turkey,,+90 242 753 00 00,, 07110 Lara  Antalya  Turkey +90 242 352 00 00 
Adonis Otel,Antalya,Konyaalti Sahil Seridi, 07070 Konyaalti, Antalya,, Turkey,,+90 242 259 30 00,, 07330 Side  Antalya  Turkey +90 242 753 00 00 
BAIA SALIMA KEMER,Kemer,Göynük Mahallesi, Başkomutan Atatürk Cd., 07994 Kemer/Antalya,, Turkey,,+90 242 824 78 00,, 07070 Konyaalti  Antalya  Turkey +90 242 259 30 00 
ARMAS KAPLAN PARADISE,Kemer,Kiriş Mahallesi, Sahil Yolu, 07980 Kemer/Antalya,, Turkey,,+90 242 824 84 84,, Başkomutan Atatürk Cd.  07994 Kemer/Antalya  Turkey +90 242 824 78 00 
Vikingen Infinity Resort,Alanya,Avsallar Mahallesi, 07400 Alanya/Antalya, Turkey,,+90 242 517 00 00,,,, Sahil Yolu  07980 Kemer/Antalya  Turkey +90 242 824 84 84 
Imperial Sunland,Kemer,Göynük Mahallesi, Başkomutan Atatürk Cd., 07994 Kemer/Antalya,, Turkey,,+90 242 815 15 15,, 07400 Alanya/Antalya  Turkey +90 242 517 00 00  
KAYA SIDE,Antalya,Titreyengöl Mevkii, 07600 Side/Antalya, Turkey,,+90 242 756 90 00,,,, Başkomutan Atatürk Cd.  07994 Kemer/Antalya  Turkey +90 242 815 15 15 
Grand Park Lara,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 352 10 00,, 07600 Side/Antalya  Turkey +90 242 756 90 00  
Amoon Belek,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 00 00,, 07110 Lara  Antalya  Turkey +90 242 352 10 00 
WHITE CITY RESORT,Alanya,Avsallar Mahallesi, 07400 Alanya/Antalya, Turkey,,+90 242 517 17 17,,,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 00 00 
EFTALIA AQUA RESORT,Alanya,Avsallar Mahallesi, 07400 Alanya/Antalya, Turkey,,+90 242 517 02 02,,,, 07400 Alanya/Antalya  Turkey +90 242 517 17 17  
Amara Luxury Resort,Kemer,Göynük Mahallesi, Başkomutan Atatürk Cd., 07994 Kemer/Antalya,, Turkey,,+90 242 824 84 84,, 07400 Alanya/Antalya  Turkey +90 242 517 02 02  
MIAROSA KEMER BEACH,Kemer,Kiriş Mahallesi, Sahil Yolu, 07980 Kemer/Antalya,, Turkey,,+90 242 824 83 00,, Başkomutan Atatürk Cd.  07994 Kemer/Antalya  Turkey +90 242 824 84 84 
Ramada Lara,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 310 30 00,, Sahil Yolu  07980 Kemer/Antalya  Turkey +90 242 824 83 00 
Utopia World Alanya,Alanya,Kestel Mahallesi, 07400 Alanya/Antalya, Turkey,,+90 242 510 20 00,,,, 07110 Lara  Antalya  Turkey +90 242 310 30 00 
ORANGE COUNTY BELEK,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 725 40 00,, 07400 Alanya/Antalya  Turkey +90 242 510 20 00  
ORANGE COUNTY Alanya,Alanya,Kestel Mahallesi, 07400 Alanya/Antalya, Turkey,,+90 242 510 10 00,,,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 725 40 00 
Crystal Sunset Luxury,Antalya,Konyaalti Sahil Seridi, 07070 Konyaalti, Antalya,, Turkey,,+90 242 229 00 00,, 07400 Alanya/Antalya  Turkey +90 242 510 10 00  
Aydinbey Famous Belek,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 12 34,, 07070 Konyaalti  Antalya  Turkey +90 242 229 00 00 
AQUAWORLD BELEK,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 12 00,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 12 34 
Sensetive Resort,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 352 35 35,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 12 00 
IC HOTELS SANTAI FAMILY,Antalya,Kemeragzi Mevkii, 07110 Aksu/Antalya, Turkey,,+90 242 310 24 00,,,, 07110 Lara  Antalya  Turkey +90 242 352 35 35 
Kirman Sidra Luxuxry,Alanya,Avsallar Mahallesi, 07400 Alanya/Antalya, Turkey,,+90 242 517 00 00,,,, 07110 Aksu/Antalya  Turkey +90 242 310 24 00  
Starlight Resort & Convention Center,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 72 00,,,, 07400 Alanya/Antalya  Turkey +90 242 517 00 00  
Lykia World,Antalya,Belcegiz Mevkii, Ölüdeniz, 48300 Fethiye/Antalya,, Turkey,,+90 252 617 00 01,, 07600 Manavgat/Antalya  Turkey +90 242 737 72 00  
Crystal Centro Lara,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 352 22 22,, Ölüdeniz  48300 Fethiye/Antalya  Turkey +90 252 617 00 01 
Selectum Family Resort,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 80 00,,,, 07110 Lara  Antalya  Turkey +90 242 352 22 22 
SEVEN SEAS HOTEL BLUE,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 90 00,,,, 07600 Manavgat/Antalya  Turkey +90 242 737 80 00  
Kirman Calyptus Luxuxry,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 77 77,,,, 07600 Manavgat/Antalya  Turkey +90 242 737 90 00  
PINE BEACH BELEK,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 05 00,, 07600 Manavgat/Antalya  Turkey +90 242 737 77 77  
Sherwood Kemer,Kemer,Kiriş Mahallesi, Sahil Yolu, 07980 Kemer/Antalya,, Turkey,,+90 242 824 88 88,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 05 00 
Kirman Leodikya,Alanya,Okurcalar Mahallesi, 07415 Alanya/Antalya, Turkey,,+90 242 527 46 46,,,, Sahil Yolu  07980 Kemer/Antalya  Turkey +90 242 824 88 88 
Kirman Sidemarin,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 73 73,,,, 07415 Alanya/Antalya  Turkey +90 242 527 46 46  
LIBERTY LARA,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 352 10 00,, 07600 Manavgat/Antalya  Turkey +90 242 737 73 73  
KAYA BELEK,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 00 00,, 07110 Lara  Antalya  Turkey +90 242 352 10 00 
Aydinbey Queen's Palace Belek,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 12 34,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 00 00 
Ducale Lara,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 352 35 00,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 12 34 
PORTO BELLO,Antalya,Konyaalti Sahil Seridi, 07070 Konyaalti, Antalya,, Turkey,,+90 242 259 24 00,, 07110 Lara  Antalya  Turkey +90 242 352 35 00 
Rixos Downtown,Antalya,Sakip Sabanci Bulv., 07100 Antalya, Turkey,,+90 242 310 40 00,,,, 07070 Konyaalti  Antalya  Turkey +90 242 259 24 00 
Limak Lara,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 352 95 00,, 07100 Antalya  Turkey +90 242 310 40 00  
Liu Resort,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 77 00,,,, 07110 Lara  Antalya  Turkey +90 242 352 95 00 
MOVENPICK RESORT,Kemer,Göynük Mahallesi, Başkomutan Atatürk Cd., 07994 Kemer/Antalya,, Turkey,,+90 242 824 88 00,, 07600 Manavgat/Antalya  Turkey +90 242 737 77 00  
PAPILLON BELVIL HOTEL,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 84 84,,,, Başkomutan Atatürk Cd.  07994 Kemer/Antalya  Turkey +90 242 824 88 00 
Venezia Palace Deluxe Resort,Aksu,Güzeloba Mah., Yasemin Sok. No:25, 07230 Aksu/Antalya,, Turkey,,+90 242 310 24 00,, 07600 Manavgat/Antalya  Turkey +90 242 737 84 84  
Sunrise Queen Resort,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 90 90,,,, Yasemin Sok. No:25  07230 Aksu/Antalya  Turkey +90 242 310 24 00 
Aska Lara Resort,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 352 15 15,, 07600 Manavgat/Antalya  Turkey +90 242 737 90 90  
NIRVANA Cosmopolitan,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 77 77,,,, 07110 Lara  Antalya  Turkey +90 242 352 15 15 
XANADU RESORT HOTEL,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 748 70 00,,,, 07600 Manavgat/Antalya  Turkey +90 242 737 77 77  
MIRACLE RESORT,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 92 00,,,, 07600 Manavgat/Antalya  Turkey +90 242 748 70 00  
SUSESI LUXURY BELEK,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 15 00,, 07600 Manavgat/Antalya  Turkey +90 242 737 92 00  
TUI MAGIC LIFE BELEK,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 10 00,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 15 00 
SWANDOR HOTELS RESORTS TOPKAPI PALACE,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 70 00,,,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 10 00 
Sueno Deluxe Belek,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 00 00,, 07600 Manavgat/Antalya  Turkey +90 242 737 70 00  
TRENDY LARA,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 352 12 34,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 00 00 
TITANIC DELUXE BELEK,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 07 07,, 07110 Lara  Antalya  Turkey +90 242 352 12 34 
Selectum Luxury Resort,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 80 80,,,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 07 07 
Granada Luxury Okurcalar,Alanya,Okurcalar Mahallesi, 07415 Alanya/Antalya, Turkey,,+90 242 527 45 45,,,, 07600 Manavgat/Antalya  Turkey +90 242 737 80 80  
Asteria Kremlin Palace,Aksu,Lara Turizm Yolu, 07110 Aksu/Antalya, Turkey,,+90 242 310 30 30,,,, 07415 Alanya/Antalya  Turkey +90 242 527 45 45  
CONCORDE DELUXE LARA,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 352 19 19,, 07110 Aksu/Antalya  Turkey +90 242 310 30 30  
IC Hotels Green Palace,Antalya,Kemeragzi Mevkii, 07110 Aksu/Antalya, Turkey,,+90 242 310 24 00,,,, 07110 Lara  Antalya  Turkey +90 242 352 19 19 
Titanic DELUXE LARA,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 352 10 00,, 07110 Aksu/Antalya  Turkey +90 242 310 24 00  
Rixos Beldibi,Kemer,Beldibi Mahallesi, 07985 Kemer/Antalya, Turkey,,+90 242 824 74 00,,,, 07110 Lara  Antalya  Turkey +90 242 352 10 00 
Kirman Belazure,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 77 77,,,, 07985 Kemer/Antalya  Turkey +90 242 824 74 00  
ROYAL SEGINUS,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 73 73,,,, 07600 Manavgat/Antalya  Turkey +90 242 737 77 77  
Granada Luxury Belek,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 12 34,, 07600 Manavgat/Antalya  Turkey +90 242 737 73 73  
Rixos Park Belek,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 07 00,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 12 34 
Titanic Mardan Palace,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 88 88,,,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 07 00 
RIXOS SUNGATE,Antalya,Göynük Mahallesi, Başkomutan Atatürk Cd., 07994 Kemer/Antalya,, Turkey,,+90 242 824 78 00,, 07600 Manavgat/Antalya  Turkey +90 242 737 88 88  
Cornelia Diamond Resort,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 15 00,, Başkomutan Atatürk Cd.  07994 Kemer/Antalya  Turkey +90 242 824 78 00 
MYLOME LUXURY RESORT,Alanya,Okurcalar Mahallesi, 07415 Alanya/Antalya, Turkey,,+90 242 527 47 47,,,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 15 00 
KAYA PALAZZO GOLF,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 00 00,, 07415 Alanya/Antalya  Turkey +90 242 527 47 47  
Lara Barut,Antalya,Lara Turizm Yolu, 07110 Lara, Antalya,, Turkey,,+90 242 352 20 00,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 00 00 
KAMELYA COLLECTION,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 70 70,,,, 07110 Lara  Antalya  Turkey +90 242 352 20 00 
DELPHIN IMPERIAL,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 91 91,,,, 07600 Manavgat/Antalya  Turkey +90 242 737 70 70  
DELPHIN BE GRAN,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 92 92,,,, 07600 Manavgat/Antalya  Turkey +90 242 737 91 91  
CALISTA LUXURY BELEK,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 15 00,, 07600 Manavgat/Antalya  Turkey +90 242 737 92 92  
Cullinan Belek,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 12 34,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 15 00 
RIXOS PREMIUM,Antalya,Kizilagac Turizm Merkezi, 07600 Manavgat/Antalya, Turkey,,+90 242 737 77 77,,,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 12 34 
THE LAND OF LEGENDS,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 717 00 00,, 07600 Manavgat/Antalya  Turkey +90 242 737 77 77  
